1 : build.go:53 (simul.startBuild)           - Deploying to deterlab
1 : deterlab.go:138 (platform.(*Deterlab).Build) - Building for guissou users.deterlab.net SAFER  simulDir= /mnt/guillaume/Documents/epfl/ipfs/repos/student_19_cruxIPFS/simulation
1 : deterlab.go:194 (platform.(*Deterlab).Build) - Build is finished after 3.223513061s
1 : build.go:144 (simul.RunTests)            - Running test with config: map[bf:19 depth:1 prescript:"prescript.sh" rounds:1 servers:20 simulation:"IPFS" suite:"Ed25519"]
1 : users.go:50 (main.main)                  - Cleaning up 40 hosts.
1 : deterlab.go:305 (platform.(*Deterlab).Deploy) - Copying over to guissou @ users.deterlab.net
1 : users.go:120 (main.main)                 - starting 20 cothorities for a total of 20 processes.
1 : runsimul.go:144 (platform.Simulate)      - Started counting children with timeout of 1s
1 : runsimul.go:148 (platform.Simulate)      - Found all 20 children
1 : pings.go:341 (service.(*Service).printPings) - 
ping node_0 node_0 = 0.000000
ping node_0 node_1 = 194.547500
ping node_0 node_2 = 32.544000
ping node_0 node_3 = 183.008000
ping node_0 node_4 = 176.515000
ping node_0 node_5 = 188.884500
ping node_0 node_6 = 177.031500
ping node_0 node_7 = 185.001000
ping node_0 node_8 = 123.028500
ping node_0 node_9 = 147.339000
ping node_0 node_10 = 144.335000
ping node_0 node_11 = 177.415500
ping node_0 node_12 = 236.052500
ping node_0 node_13 = 183.072000
ping node_0 node_14 = 297.053500
ping node_0 node_15 = 167.873000
ping node_0 node_16 = 197.423500
ping node_0 node_17 = 224.904000
ping node_0 node_18 = 166.637500
ping node_0 node_19 = 298.200000
ping node_1 node_0 = 194.547500
ping node_1 node_1 = 0.000000
ping node_1 node_2 = 226.874500
ping node_1 node_3 = 183.981000
ping node_1 node_4 = 241.927000
ping node_1 node_5 = 189.734500
ping node_1 node_6 = 177.893000
ping node_1 node_7 = 202.784500
ping node_1 node_8 = 204.939000
ping node_1 node_9 = 192.627500
ping node_1 node_10 = 263.329500
ping node_1 node_11 = 250.431500
ping node_1 node_12 = 320.994000
ping node_1 node_13 = 242.641500
ping node_1 node_14 = 327.493500
ping node_1 node_15 = 187.520000
ping node_1 node_16 = 168.325000
ping node_1 node_17 = 153.348500
ping node_1 node_18 = 261.451500
ping node_1 node_19 = 315.996500
ping node_2 node_0 = 32.544000
ping node_2 node_1 = 226.874500
ping node_2 node_2 = 0.000000
ping node_2 node_3 = 167.510000
ping node_2 node_4 = 183.386500
ping node_2 node_5 = 180.157500
ping node_2 node_6 = 171.184000
ping node_2 node_7 = 155.882000
ping node_2 node_8 = 90.496000
ping node_2 node_9 = 115.034500
ping node_2 node_10 = 143.884000
ping node_2 node_11 = 145.139000
ping node_2 node_12 = 203.220000
ping node_2 node_13 = 165.846000
ping node_2 node_14 = 280.052000
ping node_2 node_15 = 135.362500
ping node_2 node_16 = 165.124500
ping node_2 node_17 = 216.543000
ping node_2 node_18 = 134.086500
ping node_2 node_19 = 265.739000
ping node_3 node_0 = 183.008000
ping node_3 node_1 = 183.981000
ping node_3 node_2 = 167.510000
ping node_3 node_3 = 0.000000
ping node_3 node_4 = 6.562000
ping node_3 node_5 = 16.526000
ping node_3 node_6 = 7.026500
ping node_3 node_7 = 53.297000
ping node_3 node_8 = 60.860000
ping node_3 node_9 = 79.577000
ping node_3 node_10 = 81.304500
ping node_3 node_11 = 6.471000
ping node_3 node_12 = 154.812000
ping node_3 node_13 = 78.541000
ping node_3 node_14 = 192.838500
ping node_3 node_15 = 57.059500
ping node_3 node_16 = 84.679000
ping node_3 node_17 = 54.962500
ping node_3 node_18 = 95.975000
ping node_3 node_19 = 187.256000
ping node_4 node_0 = 176.515000
ping node_4 node_1 = 241.927000
ping node_4 node_2 = 183.386500
ping node_4 node_3 = 6.562000
ping node_4 node_4 = 0.000000
ping node_4 node_5 = 22.973000
ping node_4 node_6 = 0.475500
ping node_4 node_7 = 46.766000
ping node_4 node_8 = 67.349000
ping node_4 node_9 = 82.206000
ping node_4 node_10 = 88.023000
ping node_4 node_11 = 12.990000
ping node_4 node_12 = 151.598000
ping node_4 node_13 = 84.971500
ping node_4 node_14 = 199.359500
ping node_4 node_15 = 52.895500
ping node_4 node_16 = 80.853000
ping node_4 node_17 = 48.470000
ping node_4 node_18 = 91.719500
ping node_4 node_19 = 184.164000
ping node_5 node_0 = 188.884500
ping node_5 node_1 = 189.734500
ping node_5 node_2 = 180.157500
ping node_5 node_3 = 16.526000
ping node_5 node_4 = 22.973000
ping node_5 node_5 = 0.000000
ping node_5 node_6 = 12.283000
ping node_5 node_7 = 58.660500
ping node_5 node_8 = 77.382500
ping node_5 node_9 = 71.187500
ping node_5 node_10 = 97.899000
ping node_5 node_11 = 22.966000
ping node_5 node_12 = 167.690000
ping node_5 node_13 = 94.917500
ping node_5 node_14 = 209.218000
ping node_5 node_15 = 40.437500
ping node_5 node_16 = 72.029500
ping node_5 node_17 = 60.699500
ping node_5 node_18 = 79.444500
ping node_5 node_19 = 170.870000
ping node_6 node_0 = 177.031500
ping node_6 node_1 = 177.893000
ping node_6 node_2 = 171.184000
ping node_6 node_3 = 7.026500
ping node_6 node_4 = 0.475500
ping node_6 node_5 = 12.283000
ping node_6 node_6 = 0.000000
ping node_6 node_7 = 46.550500
ping node_6 node_8 = 67.761000
ping node_6 node_9 = 75.066500
ping node_6 node_10 = 88.235500
ping node_6 node_11 = 13.275000
ping node_6 node_12 = 151.838000
ping node_6 node_13 = 85.223000
ping node_6 node_14 = 199.684500
ping node_6 node_15 = 49.046000
ping node_6 node_16 = 76.984000
ping node_6 node_17 = 48.886500
ping node_6 node_18 = 87.732500
ping node_6 node_19 = 180.375500
ping node_7 node_0 = 185.001000
ping node_7 node_1 = 202.784500
ping node_7 node_2 = 155.882000
ping node_7 node_3 = 53.297000
ping node_7 node_4 = 46.766000
ping node_7 node_5 = 58.660500
ping node_7 node_6 = 46.550500
ping node_7 node_7 = 0.000000
ping node_7 node_8 = 65.607000
ping node_7 node_9 = 47.593000
ping node_7 node_10 = 86.251000
ping node_7 node_11 = 73.045000
ping node_7 node_12 = 170.010500
ping node_7 node_13 = 119.839000
ping node_7 node_14 = 228.401500
ping node_7 node_15 = 27.208500
ping node_7 node_16 = 30.556000
ping node_7 node_17 = 95.492500
ping node_7 node_18 = 66.115500
ping node_7 node_19 = 156.014000
ping node_8 node_0 = 123.028500
ping node_8 node_1 = 204.939000
ping node_8 node_2 = 90.496000
ping node_8 node_3 = 60.860000
ping node_8 node_4 = 67.349000
ping node_8 node_5 = 77.382500
ping node_8 node_6 = 67.761000
ping node_8 node_7 = 65.607000
ping node_8 node_8 = 0.000000
ping node_8 node_9 = 24.553500
ping node_8 node_10 = 20.439000
ping node_8 node_11 = 54.495500
ping node_8 node_12 = 112.289000
ping node_8 node_13 = 58.944000
ping node_8 node_14 = 172.961500
ping node_8 node_15 = 45.007500
ping node_8 node_16 = 74.634500
ping node_8 node_17 = 107.628000
ping node_8 node_18 = 42.926000
ping node_8 node_19 = 175.446000
ping node_9 node_0 = 147.339000
ping node_9 node_1 = 192.627500
ping node_9 node_2 = 115.034500
ping node_9 node_3 = 79.577000
ping node_9 node_4 = 82.206000
ping node_9 node_5 = 71.187500
ping node_9 node_6 = 75.066500
ping node_9 node_7 = 47.593000
ping node_9 node_8 = 24.553500
ping node_9 node_9 = 0.000000
ping node_9 node_10 = 44.930000
ping node_9 node_11 = 79.053000
ping node_9 node_12 = 99.990500
ping node_9 node_13 = 83.273500
ping node_9 node_14 = 197.572500
ping node_9 node_15 = 20.547000
ping node_9 node_16 = 51.788000
ping node_9 node_17 = 121.023500
ping node_9 node_18 = 18.564000
ping node_9 node_19 = 150.953500
ping node_10 node_0 = 144.335000
ping node_10 node_1 = 263.329500
ping node_10 node_2 = 143.884000
ping node_10 node_3 = 81.304500
ping node_10 node_4 = 88.023000
ping node_10 node_5 = 97.899000
ping node_10 node_6 = 88.235500
ping node_10 node_7 = 86.251000
ping node_10 node_8 = 20.439000
ping node_10 node_9 = 44.930000
ping node_10 node_10 = 0.000000
ping node_10 node_11 = 74.962500
ping node_10 node_12 = 131.248000
ping node_10 node_13 = 38.455500
ping node_10 node_14 = 152.779500
ping node_10 node_15 = 65.525000
ping node_10 node_16 = 95.128500
ping node_10 node_17 = 128.217000
ping node_10 node_18 = 63.297000
ping node_10 node_19 = 195.785000
ping node_11 node_0 = 177.415500
ping node_11 node_1 = 250.431500
ping node_11 node_2 = 145.139000
ping node_11 node_3 = 6.471000
ping node_11 node_4 = 12.990000
ping node_11 node_5 = 22.966000
ping node_11 node_6 = 13.275000
ping node_11 node_7 = 73.045000
ping node_11 node_8 = 54.495500
ping node_11 node_9 = 79.053000
ping node_11 node_10 = 74.962500
ping node_11 node_11 = 0.000000
ping node_11 node_12 = 160.164500
ping node_11 node_13 = 92.025500
ping node_11 node_14 = 203.600000
ping node_11 node_15 = 72.477000
ping node_11 node_16 = 100.049500
ping node_11 node_17 = 56.033500
ping node_11 node_18 = 97.340000
